[0.000000] (-) TimerEvent: {}
[0.000186] (-) JobUnselected: {'identifier': 'build_scene_package'}
[0.000236] (-) JobUnselected: {'identifier': 'iiwa_config_moveit_config'}
[0.000367] (-) JobUnselected: {'identifier': 'nodes'}
[0.000380] (-) JobUnselected: {'identifier': 'robot_skills'}
[0.000390] (-) JobUnselected: {'identifier': 'validate_trajectory'}
[0.000402] (iiwa_description) JobQueued: {'identifier': 'iiwa_description', 'dependencies': OrderedDict()}
[0.052213] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/dual_iiwa_left.ros2_control.xacro\n'}
[0.052262] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/dual_iiwa_robot.urdf\n'}
[0.052311] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/iiwa_arm.urdf.xacro\n'}
[0.052392] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/dual_iiwa_robot.urdf.xacro\n'}
[0.052491] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/scene_total_evironment.urdf.xacro\n'}
[0.052544] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/iiwa_arm_tcp.urdf.xacro\n'}
[0.052595] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/urdf/scene_environment.urdf.xacro\n'}
[0.052643] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes\n'}
[0.052697] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/bounding_primitive_hand.stl\n'}
[0.052776] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820\n'}
[0.053112] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision\n'}
[0.053170] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/base_link.stl\n'}
[0.053218] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_4.stl\n'}
[0.053268] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_2.stl\n'}
[0.053323] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_5.stl\n'}
[0.053397] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_1.stl\n'}
[0.053454] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_6.stl\n'}
[0.053511] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_7_2.stl\n'}
[0.053584] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_7.stl\n'}
[0.053700] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/collision/link_3.stl\n'}
[0.053778] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/link_7_2.stl\n'}
[0.053876] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual\n'}
[0.053943] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_5.dae\n'}
[0.053996] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/base_link.dae\n'}
[0.054047] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_3.dae\n'}
[0.054099] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_4.dae\n'}
[0.054151] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_6.dae\n'}
[0.054200] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_7.dae\n'}
[0.054286] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_7_2.stl\n'}
[0.054334] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_2.dae\n'}
[0.054395] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/lbr_iiwa_14_r820/visual/link_1.dae\n'}
[0.054449] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/schunk_dec.stl\n'}
[0.054502] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/CellaSapore.stl\n'}
[0.054553] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/finger_left.stl\n'}
[0.054602] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles\n'}
[0.054649] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Congelatore.stl\n'}
[0.054707] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/piatto_noCoperchio.stl\n'}
[0.054757] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Rastrelliera.stl\n'}
[0.054806] (iiwa_description) StdoutLine: {'line': b'-- Up-to-date: /home/nicola/Desktop/Progetto_Sapore/install/iiwa_description/share/iiwa_description/meshes/obstacles/Roboqbo_semplificato.stl\n'}
